City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,mbanza kongo,-6.267,14.2401,298.69,86,97,1.07,AO,1700668191
327,obo,5.3998,26.4869,298.77,73,99,0.85,CF,1700668192
328,kirkwall,58.9848,-2.9587,283.69,93,75,12.86,GB,1700668193
329,silao,20.9333,-101.4333,284.36,71,100,3.09,MX,1700667950
330,crucecita,-28.95,-58.9833,295.15,88,100,4.66,AR,1700668194
331,tenenkou,14.4572,-4.9169,308.85,10,100,1.77,ML,1700668195
332,san patricio,28.017,-97.5169,286.07,35,100,5.16,US,1700668196
333,forster,-32.1667,152.5167,291.09,100,90,2.41,AU,1700668196
334,aripuana,-9.1667,-60.6333,307.65,44,99,1.98,BR,1700668197
335,gadzhiyevo,69.2551,33.3362,259.57,97,32,5.81,RU,1700668198
336,katsuura,35.1333,140.3,292.08,82,26,5.21,JP,1700668199
337,talara,-4.5772,-81.2719,303.57,51,0,9.26,PE,1700668199
338,juan griego,11.0817,-63.9655,302.41,68,82,5.42,VE,1700668200
339,faya-largeau,17.9257,19.1043,305.09,17,0,0.0,TD,1700668201
340,bitkine,11.9801,18.2138,305.6,20,60,3.43,TD,1700668202
341,tefe,-3.3542,-64.7114,304.21,66,40,0.0,BR,1700668204
342,fengtai,39.5581,117.7492,279.44,41,22,1.45,CN,1700668204
343,qamdo,31.1667,97.2333,267.45,22,56,1.63,CN,1700668205
344,gebeit,21.0667,36.3167,298.31,62,35,5.18,SD,1700668206
345,prainha,-1.8,-53.48,306.81,46,43,3.13,BR,1700668207
346,shahr-e babak,30.1165,55.1186,285.05,35,2,1.44,IR,1700668208
347,minas de marcona,-15.2119,-75.1103,293.36,58,85,6.1,PE,1700668208
348,ma'rib,15.4591,45.3253,299.35,29,30,2.05,YE,1700668209
349,fortuna,40.5982,-124.1573,277.34,100,0,5.66,US,1700668210
350,plastun,44.7561,136.2939,275.09,97,100,1.35,RU,1700668211
351,mansehra,34.3333,73.2,286.89,30,2,1.76,PK,1700668212
352,margate,51.3813,1.3862,282.54,76,100,2.68,GB,1700668212
353,pacasmayo,-7.4006,-79.5714,295.31,75,91,5.39,PE,1700668213
354,acarau,-2.8856,-40.12,305.29,52,0,9.46,BR,1700668214
355,walvis bay,-22.9575,14.5053,292.64,55,25,10.81,NA,1700668215
356,neryungri,56.6709,124.6491,249.87,91,100,4.22,RU,1700668216
357,utrik,11.2278,169.8474,300.75,74,88,8.26,MH,1700668216
358,mount darwin,-16.7725,31.5838,302.75,38,62,1.93,ZW,1700668217
359,kuta,-8.7233,115.1723,301.12,94,20,1.54,ID,1700668218
360,tual,-5.6667,132.75,301.56,79,79,5.27,ID,1700668219
361,khanty-mansiysk,61.0042,69.0019,264.21,67,0,8.05,RU,1700668220
362,abepura,-2.6333,140.5833,298.6,94,20,1.54,ID,1700668220
363,cururupu,-1.8283,-44.8683,304.44,60,37,4.46,BR,1700668221
364,timimoun,29.2639,0.231,295.36,24,0,5.66,DZ,1700668222
365,kiama,-34.6833,150.8667,292.36,91,100,0.89,AU,1700668223
366,funafuti,-8.5243,179.1942,302.15,84,20,3.09,TV,1700668224
367,thinadhoo,0.5333,72.9333,300.86,77,85,2.63,MV,1700668224
368,hadibu,12.65,54.0333,300.09,73,7,5.32,YE,1700668225
369,balqash,46.8481,74.995,278.01,71,100,2.11,KZ,1700668226
370,al hufuf,25.3646,49.5653,296.34,46,0,5.14,SA,1700668227
371,lagoa,39.05,-27.9833,290.95,85,91,10.52,PT,1700668227
372,vilyuchinsk,52.9306,158.4028,270.3,77,24,8.22,RU,1700668228
373,yemel'yanovo,56.1681,92.6767,257.64,77,0,0.0,RU,1700668229
374,novoagansk,61.9449,76.6625,264.17,81,100,6.32,RU,1700668230
375,campo gallo,-26.5833,-62.85,301.46,62,100,5.46,AR,1700668230
376,phalaborwa,-23.943,31.1411,311.75,22,28,4.08,ZA,1700668231
377,santa ana,33.7456,-117.8678,295.11,30,40,2.06,US,1700667765
378,bedesa,8.9,40.7833,292.56,69,77,2.09,ET,1700668233
379,hithadhoo,-0.6,73.0833,301.01,78,77,3.17,MV,1700668233
380,maralal,1.0968,36.698,289.74,84,77,3.58,KE,1700668234
381,huadian,42.9633,126.7478,273.39,86,100,6.7,CN,1700668235
382,tulun,54.5611,100.5792,254.07,97,25,0.83,RU,1700668236
383,erenhot,43.6475,111.9767,260.26,66,91,8.88,CN,1700668236
384,namtsy,62.7161,129.6658,245.55,93,100,3.2,RU,1700668237
